Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Total_Students
5001,ADAM ROAD PRIMARY SCHOOL,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.357951,115.635371,08 9796 3000,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,51,42,45,46,52,67,69,55,,,,,,,427
1463,AL-AMEEN COLLEGE,57 SOUTHGATE ROAD,LANGFORD,WA,6147,57 SOUTHGATE ROAD,LANGFORD,WA,6147,-32.04605574,115.9371583,08 9458 5206,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,77,75,77,80,89,86,92,95,112,87,113,83,84,64,"1,214"
1397,AL-HIDAYAH ISLAMIC SCHOOL,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,-32.01035814,115.9115641,08 9351 8593,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,24,28,34,29,29,27,26,23,,,,,,,220
8001,ALBANY COMMUNITY KINDERGARTEN,136 SERPENTINE ROAD,ALBANY,WA,6330,PO BOX 5670,ALBANY,WA,6332,-35.02145966,117.8809869,08 9841 1864,SOUTH WEST,Community Kindergartens,COMMUNITY KINDERGARTENS,KIN,KIN,19,,,,,,,,,,,,,,19
5002,ALBANY PRIMARY SCHOOL,SUFFOLK STREET,ALBANY,WA,6330,SUFFOLK STREET,ALBANY,WA,6330,-35.01821151,117.8916106,08 9844 2860,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,20,37,53,53,59,58,61,60,,,,,,,401
6151,ALBANY SECONDARY EDUCATION SUPPORT CENTRE,65 ANSON ROAD,ALBANY,WA,6330,65 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,08 9844 2550,SOUTH WEST,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,6,9,11,12,9,12,59
4001,ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,08 6821 1700,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,138,140,138,126,165,128,835
5693,ALINJARRA PRIMARY SCHOOL,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,-31.82962571,115.8701402,08 9462 9950,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,46,48,47,35,47,34,28,,,,,,,325
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.7101785,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,14,21,19,19,19,18,28,32,32,32,32,32,25,19,342
5848,ALKIMOS BEACH PRIMARY SCHOOL,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,-31.625186,115.678659,08 9561 7200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,52,66,68,67,82,65,66,60,,,,,,,526
4211,ALKIMOS COLLEGE,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,-31.629987,115.694233,08 9561 7300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y11,,,,,,,,,227,224,199,185,154,,989
5844,ALKIMOS PRIMARY SCHOOL,340 BENENDEN AVENUE,ALKIMOS,WA,6038,340 BENENDEN AVENUE,ALKIMOS,WA,6038,-31.62699105,115.7026573,08 9562 9800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,74,83,79,94,93,83,80,72,,,,,,,658
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,63,48,48,50,52,53,81,87,144,141,144,176,173,186,"1,446"
5006,ALLANSON PRIMARY SCHOOL,CAMERON STREET,ALLANSON,WA,6225,CAMERON STREET,ALLANSON,WA,6225,-33.33580893,116.099005,08 9735 2800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,9,17,7,13,7,13,10,10,,,,,,,86
5007,ALLENDALE PRIMARY SCHOOL,52 WITTENOOM STREET,GERALDTON,WA,6530,52 WITTENOOM STREET,GERALDTON,WA,6530,-28.76430303,114.6237354,08 9923 6600,MIDWEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,35,30,44,38,49,50,56,46,,,,,,,348
1478,ALTA-1 COLLEGE,12 WINTON ROAD,JOONDALUP,WA,6027,12 WINTON ROAD,JOONDALUP,WA,6027,-31.78537164,115.8133126,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,6,43,81,169,546,51,896
1545,ALTA-1 KIMBERLEY COLLEGE,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,-15.795972,128.688089,08 9403 8200,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y11,,,,,,,,,,5,8,8,8,,29
5008,AMAROO PRIMARY SCHOOL,79 JONES STREET,COLLIE,WA,6225,79 JONES STREET,COLLIE,WA,6225,-33.35205078,116.149663,08 9735 9400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,41,53,34,44,47,42,39,43,,,,,,,343
5841,ANNE HAMERSLEY PRIMARY SCHOOL,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,16 DUNNETT DRIVE,ELLENBROOK,WA,6069,-31.74539641,116.0087173,08 9297 7000,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,100,93,89,101,96,109,64,85,,,,,,,737
5509,ANZAC TERRACE PRIMARY SCHOOL,176 ANZAC TERRACE,BASSENDEAN,WA,6054,176 ANZAC TERRACE,BASSENDEAN,WA,6054,-31.89719261,115.9372531,08 9352 2600,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,43,40,47,48,46,40,50,52,,,,,,,366
5010,APPLECROSS PRIMARY SCHOOL,65 KINTAIL ROAD,APPLECROSS,WA,6153,65 KINTAIL ROAD,APPLECROSS,WA,6153,-32.01084327,115.8395984,08 6274 1850,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,57,64,52,74,69,90,75,89,,,,,,,570
4002,APPLECROSS SENIOR HIGH SCHOOL,LINKS ROAD,ARDROSS,WA,6153,LINKS ROAD,ARDROSS,WA,6153,-32.029376,115.83509,08 9314 9393,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,325,330,329,312,292,318,"1,906"
1107,AQUINAS COLLEGE,58 MT HENRY ROAD,SALTER POINT,WA,6152,58 MT HENRY ROAD,SALTER POINT,WA,6152,-32.02617519,115.8617538,08 9450 0600,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,11,17,18,35,18,51,63,62,161,151,175,173,192,196,"1,323"
1100,ARANMORE CATHOLIC COLLEGE,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,41 FRANKLIN STREET,LEEDERVILLE,WA,6007,-31.92706854,115.8431695,08 9201 5200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,104,108,120,152,143,135,762
1241,ARANMORE CATHOLIC PRIMARY SCHOOL,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,20 BRENTHAM STREET,LEEDERVILLE,WA,6007,-31.92790363,115.8392341,08 6318 7800,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,32,23,19,30,23,27,37,39,,,,,,,230
5792,ARBOR GROVE PRIMARY SCHOOL,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,BROOKMOUNT DRIVE,ELLENBROOK,WA,6069,-31.77105084,115.962637,08 6497 4800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,66,67,64,77,81,80,88,,,,,,,563
5012,ARDROSS PRIMARY SCHOOL,46 LINKS ROAD,ARDROSS,WA,6153,46 LINKS ROAD,ARDROSS,WA,6153,-32.0274405,115.8346577,08 9263 1350,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,40,61,47,55,56,57,69,,,,,,,425
6050,ARMADALE EDUCATION SUPPORT CENTRE,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6435,SOUTH METROPOLITAN,Education Support Centres,EDUCATION SUPPORT,Y07,Y12,,,,,,,,,19,14,10,16,12,8,79
5014,ARMADALE PRIMARY SCHOOL,1 CARRADINE ROAD,ARMADALE,WA,6112,1 CARRADINE ROAD,ARMADALE,WA,6112,-32.14823967,116.0264848,08 9391 4500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,49,50,68,57,58,62,59,,,,,,,443
4003,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,103,130,128,130,127,98,716
5676,ASHBURTON DRIVE PRIMARY SCHOOL,6 NULLAGINE WAY,GOSNELLS,WA,6110,6 NULLAGINE WAY,GOSNELLS,WA,6110,-32.0862307,115.9841976,08 9234 6300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,42,50,63,44,67,50,61,,,,,,,417
5786,ASHDALE PRIMARY SCHOOL,51 ASHDALE BOULEVARD,DARCH,WA,6065,51 ASHDALE BOULEVARD,DARCH,WA,6065,-31.80875751,115.8437538,08 6207 4500,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,55,69,83,81,89,95,89,115,,,,,,,676
4181,ASHDALE SECONDARY COLLEGE,75 WESTPORT PARADE,DARCH,WA,6065,75 WESTPORT PARADE,DARCH,WA,6065,-31.81162275,115.8414952,08 6207 1300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,306,313,331,290,330,297,"1,867"
5015,ASHFIELD PRIMARY SCHOOL,65 MARGARET STREET,ASHFIELD,WA,6054,65 MARGARET STREET,ASHFIELD,WA,6054,-31.91530992,115.9409018,08 6216 1300,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,24,26,18,17,14,15,18,9,,,,,,,141
5854,ASPIRI PRIMARY SCHOOL,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,30 SUNRAY AVENUE,PIARA WATERS,WA,6112,-32.138988,115.912209,08 9397 8300,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,117,120,134,123,137,133,108,110,,,,,,,982
1287,ASSUMPTION CATHOLIC PRIMARY SCHOOL,22-34 GORDON ROAD,MANDURAH,WA,6210,22-34 GORDON ROAD,MANDURAH,WA,6210,-32.50994328,115.7464321,08 9583 8500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y06,37,36,43,55,58,54,44,55,,,,,,,382
1519,ATLANTIS BEACH BAPTIST COLLEGE,800 BREAKWATER DRIVE,TWO ROCKS,WA,6037,800 BREAKWATER DRIVE,TWO ROCKS,WA,6037,-31.473535,115.644623,08 9544 3000,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,20,20,17,20,21,25,26,32,45,38,26,23,2,,315
5016,ATTADALE PRIMARY SCHOOL,WICHMANN ROAD,ATTADALE,WA,6156,WICHMANN ROAD,ATTADALE,WA,6156,-32.02544682,115.8018145,08 6274 1700,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,40,71,47,53,55,66,57,43,,,,,,,432
4184,ATWELL COLLEGE,201 BRENCHLEY DRIVE,ATWELL,WA,6164,201 BRENCHLEY DRIVE,ATWELL,WA,6164,-32.14395682,115.8641462,08 6174 2200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,124,135,144,203,176,190,972
5765,ATWELL PRIMARY SCHOOL,160 LYDON BOULEVARD,ATWELL,WA,6164,160 LYDON BOULEVARD,ATWELL,WA,6164,-32.13527555,115.867828,08 6174 2400,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,53,44,63,64,79,72,68,72,,,,,,,515
5820,AUBIN GROVE PRIMARY SCHOOL,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,85 CAMDEN BOULEVARD,AUBIN GROVE,WA,6164,-32.17306065,115.8623522,08 6174 6500,SOUTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,99,106,129,127,124,142,125,139,,,,,,,991
5017,AUGUSTA PRIMARY SCHOOL,32 ALLNUTT TERRACE,AUGUSTA,WA,6290,PO BOX 106,AUGUSTA,WA,6290,-34.31671839,115.1595029,08 9781 5100,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS,KIN,Y06,12,15,15,14,11,17,19,8,,,,,,,111
1487,AUSTIN COVE BAPTIST COLLEGE,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,INLET BOULEVARD,SOUTH YUNDERUP,WA,6208,-32.59324476,115.8065154,08 9520 8200,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,38,49,46,46,44,33,48,45,76,91,75,71,55,33,750
1491,AUSTRALIAN CHRISTIAN COLLEGE - DARLING DOWNS,10 NINTH ROAD,HILBERT,WA,6112,10 NINTH ROAD,HILBERT,WA,6112,-32.17468068,116.0042944,08 9391 1500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y09,13,15,13,13,12,17,21,11,13,16,10,,,,154
1438,AUSTRALIAN CHRISTIAN COLLEGE - SOUTHLANDS,26 BREWSTER ROAD,ALBANY,WA,6330,26 BREWSTER ROAD,ALBANY,WA,6330,-34.99550802,117.9227056,08 9892 5100,SOUTH WEST,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,13,20,18,32,33,41,47,56,84,108,117,156,148,90,963
