Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group
5001,ADAM ROAD PRIMARY SCHOOL,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,HOTCHIN STREET,SOUTH BUNBURY,WA,6230,-33.357951,115.635371,08 9796 3000,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS
1463,AL-AMEEN COLLEGE,57 SOUTHGATE ROAD,LANGFORD,WA,6147,57 SOUTHGATE ROAD,LANGFORD,WA,6147,-32.04605574,115.9371583,08 9458 5206,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1397,AL-HIDAYAH ISLAMIC SCHOOL,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,CNR HEDLEY ST/NYAMUP WAY,BENTLEY,WA,6102,-32.01035814,115.9115641,08 9351 8593,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
8001,ALBANY COMMUNITY KINDERGARTEN,136 SERPENTINE ROAD,ALBANY,WA,6330,PO BOX 5670,ALBANY,WA,6332,-35.02145966,117.8809869,08 9841 1864,SOUTH WEST,Community Kindergartens,COMMUNITY KINDERGARTENS
5002,ALBANY PRIMARY SCHOOL,SUFFOLK STREET,ALBANY,WA,6330,SUFFOLK STREET,ALBANY,WA,6330,-35.01821151,117.8916106,08 9844 2860,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS
6151,ALBANY SECONDARY EDUCATION SUPPORT CENTRE,65 ANSON ROAD,ALBANY,WA,6330,65 ANSON ROAD,ALBANY,WA,6330,-34.99074882,117.8668674,08 9844 2550,SOUTH WEST,Education Support Centres,EDUCATION SUPPORT
4001,ALBANY SENIOR HIGH SCHOOL,1 CAMPBELL ROAD,ALBANY,WA,6330,1 CAMPBELL ROAD,ALBANY,WA,6330,-35.02044765,117.8917733,08 6821 1700,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS
5693,ALINJARRA PRIMARY SCHOOL,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,33 NORTHUMBERLAND AVENUE,ALEXANDER HEIGHTS,WA,6064,-31.82962571,115.8701402,08 9462 9950,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
1488,ALKIMOS BAPTIST COLLEGE,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,60 SEAGROVE BOULEVARD,MERRIWA,WA,6030,-31.66032819,115.7101785,08 9406 8189,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
5848,ALKIMOS BEACH PRIMARY SCHOOL,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,200 LEATHERBACK BOULEVARD,ALKIMOS,WA,6038,-31.625186,115.678659,08 9561 7200,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
4211,ALKIMOS COLLEGE,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,101 SANTORINI PROMENADE,ALKIMOS,WA,6038,-31.629987,115.694233,08 9561 7300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS
5844,ALKIMOS PRIMARY SCHOOL,340 BENENDEN AVENUE,ALKIMOS,WA,6038,340 BENENDEN AVENUE,ALKIMOS,WA,6038,-31.62699105,115.7026573,08 9562 9800,NORTH METROPOLITAN,Primary Schools,PRIMARY SCHOOLS
1277,ALL SAINTS' COLLEGE,28 EWING AVENUE,BULL CREEK,WA,6149,28 EWING AVENUE,BULL CREEK,WA,6149,-32.04946998,115.867023,08 9313 9333,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
5006,ALLANSON PRIMARY SCHOOL,CAMERON STREET,ALLANSON,WA,6225,CAMERON STREET,ALLANSON,WA,6225,-33.33580893,116.099005,08 9735 2800,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS
5007,ALLENDALE PRIMARY SCHOOL,52 WITTENOOM STREET,GERALDTON,WA,6530,52 WITTENOOM STREET,GERALDTON,WA,6530,-28.76430303,114.6237354,08 9923 6600,MIDWEST,Primary Schools,PRIMARY SCHOOLS
1478,ALTA-1 COLLEGE,12 WINTON ROAD,JOONDALUP,WA,6027,12 WINTON ROAD,JOONDALUP,WA,6027,-31.78537164,115.8133126,08 9403 8200,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT
1545,ALTA-1 KIMBERLEY COLLEGE,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,LOT 579 PACKSADDLE ROAD,KUNUNURRA,WA,6743,-15.795972,128.688089,08 9403 8200,KIMBERLEY,NON-GOVT SCHOOLS,NON-GOVERNMENT
5008,AMAROO PRIMARY SCHOOL,79 JONES STREET,COLLIE,WA,6225,79 JONES STREET,COLLIE,WA,6225,-33.35205078,116.149663,08 9735 9400,SOUTH WEST,Primary Schools,PRIMARY SCHOOLS
