suburb,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,mean_crime_rate
ALEXANDER HEIGHTS,552,466,426,481,470,354,361,428,399,437.44444444444446
ALFRED COVE,153,127,134,102,145,108,136,157,304,151.77777777777777
ALKIMOS,358,484,464,427,455,366,415,483,431,431.44444444444446
ANKETELL,33,32,44,36,39,46,29,43,63,40.55555555555556
APPLECROSS,649,545,494,556,523,436,610,488,475,530.6666666666666
ARDROSS,187,168,196,169,205,151,212,168,124,175.55555555555554
ARMADALE,4555,4254,4660,4762,4811,3698,3407,3461,3881,4165.444444444444
ASCOT,463,490,287,494,532,384,414,492,518,452.6666666666667
ASHBY,95,141,184,92,111,104,87,93,99,111.77777777777777
ASHFIELD,237,149,138,197,199,134,161,163,189,174.11111111111111
ATTADALE,240,195,269,222,210,141,202,166,212,206.33333333333334
ATWELL,344,476,465,547,453,446,292,735,566,480.44444444444446
AUBIN GROVE,221,191,216,150,166,150,146,182,129,172.33333333333334
AVELEY,807,489,534,467,580,449,506,447,462,526.7777777777778
BALCATTA,1476,1497,1460,1302,1157,1151,1096,1405,1491,1337.2222222222222
BALDIVIS,1831,2107,1875,2046,1791,1658,1808,2052,2333,1944.5555555555557
BALGA,2011,2490,2307,2192,2255,1949,1640,1976,2234,2117.1111111111113
BALLAJURA,1038,1087,829,943,1056,983,838,964,837,952.7777777777778
BANJUP,187,190,115,71,79,77,83,65,56,102.55555555555556
BANKSIA GROVE,678,778,701,828,975,771,710,666,962,785.4444444444445
BASKERVILLE,42,52,46,47,21,20,21,21,18,32.0
BASSENDEAN,1530,1487,1299,1332,1499,1560,966,1094,1069,1315.111111111111
BATEMAN,172,171,191,297,270,191,182,173,164,201.22222222222223
BAYSWATER,1620,1466,1713,1651,1599,1241,1218,1510,1410,1492.0
BEACONSFIELD,732,855,695,672,767,623,771,829,879,758.1111111111111
BECKENHAM,1264,1000,999,1005,1212,1010,1041,1215,1127,1097.0
BEDFORD,533,409,441,478,329,278,302,287,369,380.6666666666667
BEDFORDALE,99,134,102,102,98,78,77,61,59,90.0
BEECHBORO,1208,1048,1110,1150,1088,906,1029,677,891,1011.8888888888889
BEELIAR,693,641,536,534,627,457,645,504,586,580.3333333333334
BELDON,424,364,341,377,239,267,196,170,292,296.6666666666667
BELHUS,13,18,31,16,18,9,4,10,3,13.555555555555555
BELLEVUE,266,310,292,350,374,244,248,265,259,289.77777777777777
BELMONT,1640,1718,1670,2154,2035,1472,1773,1784,2035,1809.0
BENNETT SPRINGS,236,163,217,178,322,255,293,242,249,239.44444444444446
BENTLEY,1880,1966,1640,1756,1666,1292,1973,1587,2184,1771.5555555555557
BERTRAM,458,469,441,643,652,417,492,511,419,500.22222222222223
BIBRA LAKE,912,719,676,624,625,378,481,514,494,602.5555555555555
BICKLEY,18,24,13,24,25,10,17,12,21,18.22222222222222
BICTON,520,637,595,702,355,384,370,496,541,511.1111111111111
BOORAGOON,798,810,739,826,834,544,720,711,642,736.0
BOYA,21,22,59,26,15,21,7,14,14,22.11111111111111
BRABHAM,172,229,253,206,287,230,257,309,448,265.6666666666667
BRENTWOOD,261,236,203,229,268,181,256,210,142,220.66666666666666
BRIGADOON,51,50,30,46,32,30,19,39,47,38.22222222222222
BROOKDALE,522,462,408,444,383,332,354,337,339,397.8888888888889
BULL CREEK,396,354,458,413,512,313,485,531,456,435.3333333333333
BULLSBROOK,280,355,218,316,289,266,215,195,355,276.55555555555554
BURNS BEACH,167,106,98,85,78,79,63,65,54,88.33333333333333
BURSWOOD,1247,1300,1273,1506,1393,1102,1231,1069,1190,1256.7777777777778
BUTLER,1474,1705,1439,1686,1603,1208,1211,1164,1195,1409.4444444444443
BYFORD,1075,1168,1044,1047,1106,928,1056,993,1096,1057.0
CALISTA,337,337,401,303,282,204,201,189,196,272.22222222222223
CAMILLO,928,676,746,1033,582,628,438,475,529,670.5555555555555
CANNING VALE,1693,2074,1900,2196,1742,1265,1314,1630,2173,1776.3333333333333
CANNINGTON,2063,2155,1988,2307,2477,2010,2710,3136,3248,2454.8888888888887
CARABOODA,27,29,31,53,49,24,15,12,38,30.88888888888889
CARDUP,43,53,44,31,54,48,28,16,34,39.0
CARINE,207,202,214,282,233,152,193,129,209,202.33333333333334
CARLISLE,1155,1168,1034,1069,948,752,938,980,1315,1039.888888888889
CARMEL,17,35,16,38,25,13,17,16,16,21.444444444444443
CARRAMAR,309,422,195,280,247,223,203,161,164,244.88888888888889
CASUARINA,157,159,144,141,145,136,167,206,343,177.55555555555554
CAVERSHAM,491,547,514,451,581,479,556,349,323,476.77777777777777
CHAMPION LAKES,204,244,205,222,176,178,266,171,147,201.44444444444446
CHIDLOW,55,57,59,42,56,57,44,62,54,54.0
CHURCHLANDS,149,126,121,128,182,84,135,87,98,123.33333333333333
CITY BEACH,238,358,286,385,187,213,241,214,218,260.0
CLAREMONT,791,706,724,861,846,854,762,774,913,803.4444444444445
CLARKSON,1834,2170,1557,1723,1726,1228,1104,963,1091,1488.4444444444443
CLOVERDALE,1965,2067,1850,2245,2018,1751,2227,2332,2602,2117.4444444444443
COCKBURN CENTRAL,510,388,516,513,616,406,522,434,407,479.1111111111111
COMO,1458,1242,1165,1273,1083,1106,1427,1400,1742,1321.7777777777778
CONNOLLY,174,117,101,76,109,75,73,79,81,98.33333333333333
COOGEE,287,302,277,294,328,216,224,279,260,274.1111111111111
COOLBELLUP,796,633,890,768,913,744,687,715,1032,797.5555555555555
COOLBINIA,95,84,86,97,95,101,47,54,69,80.88888888888889
COOLOONGUP,903,1099,728,884,872,554,644,525,679,765.3333333333334
COTTESLOE,610,614,563,513,618,489,471,444,454,530.6666666666666
CRAIGIE,546,391,371,365,378,298,303,248,411,367.8888888888889
CRAWLEY,243,308,311,374,301,148,249,260,240,270.44444444444446
CURRAMBINE,402,435,361,302,354,275,314,248,242,325.8888888888889
